After Time_step: 2, x: 10, y: 28, z: 21
After Time_step: 4, x: 11, y: 26, z: 30
After Time_step: 6, x: 11, y: 16, z: 26
After Time_step: 8, x: 11, y: 14, z: 24
After Time_step: 10, x: 10, y: 15, z: 17
After Time_step: 12, x: 9, y: 16, z: 13
After Time_step: 14, x: 9, y: 15, z: 13
After Time_step: 16, x: 9, y: 18, z: 29
After Time_step: 18, x: 12, y: 19, z: 31
After Time_step: 20, x: 14, y: 15, z: 29
After Time_step: 22, x: 16, y: 12, z: 28
After Time_step: 24, x: 16, y: 10, z: 26
After Time_step: 26, x: 15, y: 5, z: 29
After Time_step: 28, x: 15, y: 9, z: 28
After Time_step: 30, x: 15, y: 11, z: 27
After Time_step: 32, x: 17, y: 10, z: 23
After Time_step: 34, x: 16, y: 8, z: 25
After Time_step: 36, x: 14, y: 6, z: 25
After Time_step: 38, x: 14, y: 5, z: 28
After Time_step: 40, x: 14, y: 4, z: 32
After Time_step: 42, x: 25, y: 8, z: 5
After Time_step: 44, x: 28, y: 11, z: 8
After Time_step: 46, x: 28, y: 12, z: 10
After Time_step: 48, x: 28, y: 12, z: 11
After Time_step: 50, x: 28, y: 12, z: 14
After Time_step: 52, x: 25, y: 8, z: 23
After Time_step: 54, x: 24, y: 6, z: 25
After Time_step: 56, x: 29, y: 9, z: 7
After Time_step: 58, x: 31, y: 13, z: 6
After Time_step: 60, x: 30, y: 15, z: 7
After Time_step: 62, x: 27, y: 16, z: 14
After Time_step: 64, x: 23, y: 17, z: 19
After Time_step: 66, x: 20, y: 17, z: 19
After Time_step: 68, x: 17, y: 17, z: 19
After Time_step: 70, x: 23, y: 22, z: 4
After Time_step: 72, x: 26, y: 24, z: 6
After Time_step: 74, x: 26, y: 26, z: 10
After Time_step: 76, x: 26, y: 26, z: 10
After Time_step: 78, x: 24, y: 26, z: 19
After Time_step: 80, x: 25, y: 26, z: 19
After Time_step: 82, x: 20, y: 27, z: 16
After Time_step: 84, x: 17, y: 28, z: 23
After Time_step: 86, x: 16, y: 28, z: 23
After Time_step: 88, x: 14, y: 28, z: 23
After Time_step: 90, x: 13, y: 28, z: 23
After Time_step: 92, x: 13, y: 26, z: 30
After Time_step: 94, x: 16, y: 16, z: 31
After Time_step: 96, x: 16, y: 15, z: 32
After Time_step: 98, x: 15, y: 14, z: 31
After Time_step: 100, x: 13, y: 12, z: 24
After Time_step: 102, x: 10, y: 15, z: 15
After Time_step: 104, x: 12, y: 6, z: 26
After Time_step: 106, x: 12, y: 3, z: 28
After Time_step: 108, x: 15, y: 3, z: 32
After Time_step: 110, x: 15, y: 3, z: 31
After Time_step: 112, x: 13, y: 2, z: 28
After Time_step: 114, x: 13, y: 4, z: 1
After Time_step: 116, x: 12, y: 5, z: 35
After Time_step: 118, x: 25, y: 8, z: 6
After Time_step: 120, x: 27, y: 12, z: 7
After Time_step: 122, x: 28, y: 14, z: 7
After Time_step: 124, x: 28, y: 14, z: 10
After Time_step: 126, x: 27, y: 14, z: 10
After Time_step: 128, x: 26, y: 8, z: 28
After Time_step: 130, x: 26, y: 8, z: 28
After Time_step: 132, x: 29, y: 9, z: 4
After Time_step: 134, x: 29, y: 13, z: 11
After Time_step: 136, x: 28, y: 16, z: 11
After Time_step: 138, x: 28, y: 16, z: 8
After Time_step: 140, x: 26, y: 16, z: 16
After Time_step: 142, x: 24, y: 16, z: 19
After Time_step: 144, x: 24, y: 16, z: 19
After Time_step: 146, x: 23, y: 16, z: 19
After Time_step: 148, x: 24, y: 18, z: 11
After Time_step: 150, x: 25, y: 22, z: 10
After Time_step: 152, x: 28, y: 24, z: 7
After Time_step: 154, x: 26, y: 25, z: 12
After Time_step: 156, x: 26, y: 26, z: 13
After Time_step: 158, x: 24, y: 26, z: 13
After Time_step: 160, x: 21, y: 27, z: 22
After Time_step: 162, x: 24, y: 28, z: 2
After Time_step: 164, x: 24, y: 26, z: 9
After Time_step: 166, x: 19, y: 23, z: 19
After Time_step: 168, x: 17, y: 23, z: 26
After Time_step: 170, x: 16, y: 23, z: 27
After Time_step: 172, x: 17, y: 23, z: 18
After Time_step: 174, x: 18, y: 23, z: 18
After Time_step: 176, x: 18, y: 23, z: 19
After Time_step: 178, x: 17, y: 21, z: 28
